"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Feb 27 13:55:16 MSK 2024","Tue Feb 27 13:55:28 MSK 2024","12231","","Test Exercise","","Test Exercise","Тест-кейс 5: Переход в корзину с 9 акционными товарами одного наименования.","Тест-кейс 5: Переход в корзину с 9 акционными товарами одного наименования.",""
"broken","","","","","Test_Case_1.cy.ts","","","","Oops...we found an error preparing this test file: Test_Case_1.cy.ts",""
"passed","Tue Feb 27 13:55:36 MSK 2024","Tue Feb 27 13:55:37 MSK 2024","402","","example to-do app with a checked task","","example to-do app with a checked task","can filter for completed tasks","can filter for completed tasks",""
"broken","","","","","Test_Case_4.cy.ts","","","","Oops...we found an error preparing this test file: Test_Case_4.cy.ts",""
"broken","","","","","Test_Case_2.cy.ts","","","","Oops...we found an error preparing this test file: Test_Case_2.cy.ts",""
"passed","Tue Feb 27 13:55:35 MSK 2024","Tue Feb 27 13:55:36 MSK 2024","518","","example to-do app","","example to-do app","can add new todo items","can add new todo items",""
"broken","","","","","Test_Case_5.cy.ts","","","","Oops...we found an error preparing this test file: Test_Case_5.cy.ts",""
"broken","","","","","Test_Case_3.cy.ts","","","","Oops...we found an error preparing this test file: Test_Case_3.cy.ts",""
"broken","","","","","Test_Case_4.cy.ts","","","","Oops...we found an error preparing this test file: Test_Case_4.cy.ts",""
"broken","","","","","Test_Case_1.cy.ts","","","","Oops...we found an error preparing this test file: Test_Case_1.cy.ts",""
"broken","","","","","todo.cy.js","","","","Oops...we found an error preparing this test file: todo.cy.js",""
"broken","","","","","Test_Case_3.cy.ts","","","","Oops...we found an error preparing this test file: Test_Case_3.cy.ts",""
"failed","Tue Feb 27 13:54:27 MSK 2024","Tue Feb 27 13:54:39 MSK 2024","12592","","Test Exercise","","Test Exercise","Тест-кейс 2: Переход в корзину с 1 неакционным товаром.","Тест-кейс 2: Переход в корзину с 1 неакционным товаром.",""
"passed","Tue Feb 27 13:55:30 MSK 2024","Tue Feb 27 13:55:35 MSK 2024","4683","","example to-do app","","example to-do app","displays two todo items by default","displays two todo items by default",""
"failed","Tue Feb 27 13:54:56 MSK 2024","Tue Feb 27 13:55:13 MSK 2024","16924","","Test Exercise","","Test Exercise","Тест-кейс 4: Переход в корзину с 9 разными товарами.","Тест-кейс 4: Переход в корзину с 9 разными товарами.",""
"broken","","","","","Test_Case_1.cy.ts","","","","Oops...we found an error preparing this test file: Test_Case_1.cy.ts",""
"broken","","","","","Test_Case_3.cy.ts","","","","Oops...we found an error preparing this test file: Test_Case_3.cy.ts",""
"broken","","","","","Test_Case_4.cy.ts","","","","Oops...we found an error preparing this test file: Test_Case_4.cy.ts",""
"passed","Tue Feb 27 13:55:36 MSK 2024","Tue Feb 27 13:55:36 MSK 2024","259","","example to-do app","","example to-do app","can check off an item as completed","can check off an item as completed",""
"broken","","","","","Test_Case_4.cy.ts","","","","Oops...we found an error preparing this test file: Test_Case_4.cy.ts",""
"broken","","","","","todo.cy.js","","","","Oops...we found an error preparing this test file: todo.cy.js",""
"broken","","","","","Test_Case_2.cy.ts","","","","Oops...we found an error preparing this test file: Test_Case_2.cy.ts",""
"broken","","","","","Test_Case_2.cy.ts","","","","Oops...we found an error preparing this test file: Test_Case_2.cy.ts",""
"broken","","","","","todo.cy.js","","","","Oops...we found an error preparing this test file: todo.cy.js",""
"failed","Tue Feb 27 13:54:42 MSK 2024","Tue Feb 27 13:54:54 MSK 2024","11885","","Test Exercise","","Test Exercise","Тест-кейс 3: Переход в корзину с 1 акционным товаром. ","Тест-кейс 3: Переход в корзину с 1 акционным товаром. ",""
"broken","","","","","Test_Case_3.cy.ts","","","","Oops...we found an error preparing this test file: Test_Case_3.cy.ts",""
"broken","","","","","Test_Case_5.cy.ts","","","","Oops...we found an error preparing this test file: Test_Case_5.cy.ts",""
"broken","","","","","Test_Case_1.cy.ts","","","","Oops...we found an error preparing this test file: Test_Case_1.cy.ts",""
"broken","","","","","Test_Case_4.cy.ts","","","","Oops...we found an error preparing this test file: Test_Case_4.cy.ts",""
"broken","","","","","Test_Case_2.cy.ts","","","","Oops...we found an error preparing this test file: Test_Case_2.cy.ts",""
"broken","","","","","Test_Case_3.cy.ts","","","","Oops...we found an error preparing this test file: Test_Case_3.cy.ts",""
"broken","","","","","Test_Case_5.cy.ts","","","","Oops...we found an error preparing this test file: Test_Case_5.cy.ts",""
"passed","Tue Feb 27 13:55:37 MSK 2024","Tue Feb 27 13:55:37 MSK 2024","529","","example to-do app with a checked task","","example to-do app with a checked task","can delete all completed tasks","can delete all completed tasks",""
"broken","","","","","Test_Case_1.cy.ts","","","","Oops...we found an error preparing this test file: Test_Case_1.cy.ts",""
"failed","Tue Feb 27 13:54:12 MSK 2024","Tue Feb 27 13:54:25 MSK 2024","12386","","Test Exercise","","Test Exercise","Тест-кейс 1: Переход в пустую корзину.","Тест-кейс 1: Переход в пустую корзину.",""
"passed","Tue Feb 27 13:55:36 MSK 2024","Tue Feb 27 13:55:36 MSK 2024","427","","example to-do app with a checked task","","example to-do app with a checked task","can filter for uncompleted tasks","can filter for uncompleted tasks",""
"broken","","","","","Test_Case_2.cy.ts","","","","Oops...we found an error preparing this test file: Test_Case_2.cy.ts",""
"broken","","","","","Test_Case_5.cy.ts","","","","Oops...we found an error preparing this test file: Test_Case_5.cy.ts",""
"broken","","","","","Test_Case_5.cy.ts","","","","Oops...we found an error preparing this test file: Test_Case_5.cy.ts",""
"broken","","","","","todo.cy.js","","","","Oops...we found an error preparing this test file: todo.cy.js",""
"broken","","","","","todo.cy.js","","","","Oops...we found an error preparing this test file: todo.cy.js",""
